attempt,status,started_at_utc,response_latency_ms,usage_source,input_tokens_including_cached,cached_input_tokens,non_cached_input_tokens,output_tokens,reasoning_output_tokens,context_total_tokens,cli_total_excluding_cached,cli_total_source,quota_attribution,response_text_sha256
r1,valid,2026-09-02T01:56:17.699Z,1727,event-log,20421,11008,9413,14,0,20435,9427,derived-from-event-log,not_measured,9024cb7a5b7baab60c6512dcaf3a24adaceb3c4ae20867e90fbddb7bc1c44043
r2,valid,2026-09-02T01:57:42.137Z,3761,event-log,20421,11008,9413,14,0,20435,9427,derived-from-event-log,not_measured,9024cb7a5b7baab60c6512dcaf3a24adaceb3c4ae20867e90fbddb7bc1c44043
r3,valid,2026-09-02T01:58:29.866Z,1883,event-log,20421,11008,9413,14,0,20435,9427,derived-from-event-log,not_measured,9024cb7a5b7baab60c6512dcaf3a24adaceb3c4ae20867e90fbddb7bc1c44043
r4,valid,2026-09-02T03:08:16.235Z,2898,event-log,20421,11008,9413,14,0,20435,9427,derived-from-event-log,not_measured,9024cb7a5b7baab60c6512dcaf3a24adaceb3c4ae20867e90fbddb7bc1c44043
r5,valid,2026-09-02T03:09:29.477Z,1611,event-log,20421,11008,9413,14,0,20435,9427,derived-from-event-log,not_measured,9024cb7a5b7baab60c6512dcaf3a24adaceb3c4ae20867e90fbddb7bc1c44043
r6,valid,2026-09-02T03:09:46.025Z,2161,event-log,20421,11008,9413,14,0,20435,9427,derived-from-event-log,not_measured,9024cb7a5b7baab60c6512dcaf3a24adaceb3c4ae20867e90fbddb7bc1c44043
