attempt,status,started_at_utc,response_latency_ms,usage_source,input_tokens_including_cached,cached_input_tokens,non_cached_input_tokens,output_tokens,reasoning_output_tokens,context_total_tokens,cli_total_excluding_cached,cli_total_source,quota_attribution,response_text_sha256
r1,valid,2026-08-29T23:49:44.706Z,1870,event-log-and-exit-ui,15340,11008,4332,13,0,15353,4345,exit-ui-and-event-log,not_measured,a2e6b63bc03ff02f976dd47e7c9a0574c6bd76e0a4ce5310b7e5108e2c9bacc4
r2,valid,2026-08-29T23:57:10.981Z,1994,event-log-and-exit-ui,15340,11008,4332,14,0,15354,4346,exit-ui-and-event-log,not_measured,a65de25805112fa8bd31c0c30da9bea5ea4aa2fc5d941085342fc4b23396a2c5
r3,valid,2026-08-30T00:01:48.620Z,2816,event-log-and-exit-ui,15340,11008,4332,13,0,15353,4345,exit-ui-and-event-log,not_measured,7593aeef1de17322b17d5269f97dcf539bbc1ab3b6ca34368df176103cccd15f
