attempt,status,started_at_utc,response_latency_ms,ui_latency_seconds,usage_source,requested_model,model_observed,effort_observed,context_usage_displayed_tokens,context_limit_tokens,input_tokens_including_cached,cached_input_tokens,non_cached_input_tokens,output_tokens,reasoning_output_tokens,context_total_tokens,tool_calls,approvals,quota_attribution,response_text_sha256
r1,valid,2026-09-01T02:35:00Z,not_exposed,7,exit-ui,GLM-5.3-Flash,GLM-5.3-Flash,最高,28585,1000000,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,0,not_measured,f57333d3a8395bec6d40e10099b8ca6702ba20233f65b240fc8ef88556418046
r2,valid,2026-09-01T02:36:00Z,not_exposed,4,exit-ui,GLM-5.3-Flash,GLM-5.3-Flash,最高,28614,1000000,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,0,not_measured,2aaf2865ef7dafd7099b5539bcac4e1f69f06a710706fa69287a583bc5b2fcd0
r3,valid,2026-09-01T02:38:00Z,not_exposed,4,exit-ui,GLM-5.3-Flash,GLM-5.3-Flash,最高,28595,1000000,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,0,not_measured,002996fc86ca5861cffbe13e3c6864eda37c799cc63e75a2ce8fad511f392ae7
